subword,entropy
началото,3.450393140322063
##зда,0.49473319918249736
##бет,1.7573813176091404
##тро,0.24066600078646458
##нина,1.5074917209573373
##рива,1.0357010065570564
##дната,0.6925867950134408
##ух,1.1158298032276603
водата,0.584050077637353
##лина,0.277155595711202
##лината,0.2221945556314473
добро,0.8064778692755756
##дел,1.1901302376796117
Де,1.0250718174798443
първи,3.5463751759059905
простор,0.9621359791794204
води,0.6983239658630334
вода,0.9852281360342516
втори,1.0263637206943435
##бер,0.74959525725948
су,0.7392347987534208
З,0.4862281524490533
##брана,0.29262750206472843
##оре,1.0715590635413552
##рас,0.41369273084089675
##рев,2.6691029290182167
##мен,0.9945900546621435
##лод,0.7635021899630485
вида,4.336563099562337
трети,1.5122657378345128
##деля,3.3182270866244656
##щта,2.726214021336101
пока,0.33994193910328385
##зва,0.5394674358990461
времена,0.4562186263960174
##ила,0.7937516165585224
##вет,1.1018681605236893
##лява,0.40376641662660173
двете,1.4260659390228578
големи,0.5120311789097587
##ило,0.9924229825530636
##ладе,1.77202387789667
малко,0.3015285590869277
зв,2.318807387743511
##езд,1.3351019133791517
##тв,0.5433182606749906
##веде,1.3108562983864118
##оби,0.7773966094640528
##лно,2.509994862859711
##жества,1.1251594430060565
од,1.9276893656300407
##уш,3.5108112500192616
##еве,1.8939169008973438
##чу,1.3809163164514278
птиц,0.49415319595424445
##чат,0.6996088445712493
големите,0.4287096369483296
##орски,1.2491723973796398
##дови,1.122433233054464
##щество,3.6043031435136537
видове,4.45858044729976
крила,1.8217412321427666
птица,3.2483560565708265
##мно,3.4294188421703997
##жава,1.36369637427368
##нет,2.24030046127612
море,0.579820912412693
##тата,0.6616402358025993
животни,1.779289850186305
доби,1.0508709980473476
##еров,2.2083201715006884
човека,0.6985749896276029
образ,0.9606946760906294
##иби,0.9504544100131389
Св,0.538375366229909
##зду,1.412900210292538
##шните,0.5819631052195751
жив,0.7263631747478502
##рана,0.5447517787934827
##шни,0.7497005520612204
##елена,0.6216751149095475
шести,0.6620762399546561
##ших,0.6726051770929962
войн,2.827896247780953
##ство,1.8549989427043605
##мия,1.055962370563484
дела,0.7098871610960613
##чина,2.567666466574961
##вори,0.8420647221902502
Това,0.6766171215370154
##ход,2.167309691621494
времето,0.6841555689290484
##ско,0.6423365741567876
##ква,1.079444430502521
##нала,1.5120954080610907
дал,0.6072317416725783
##тва,1.148421093793765
пара,0.8814124576061694
##ига,0.26691279512816884
пр,0.8748738038222715
##хна,0.6710376634623436
##зд,1.6444688233359328
ж,0.8840334864196716
##нено,1.726606751122498
ди,0.3068658516425501
##хан,2.9397046286873825
##ади,1.6803771419475144
##ината,0.5726432352911787
изток,0.9751977921390481
##иво,2.3869459005153213
##глед,1.2577084165257961
